File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\OperationStatus.java,51,15,12,1,16,0,20,95,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\PreloadConfig.java,98,36,25,5,26,0,36,175,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\PreloadStats.java,194,77,59,8,51,0,66,234,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\PreloadStatus.java,33,15,12,1,14,0,4,19,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\RunRecoveryException.java,60,38,27,4,18,0,4,19,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\SecondaryConfig.java,243,111,81,19,60,0,72,342,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\SecondaryCursor.java,616,319,231,66,118,0,179,896,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\SecondaryDatabase.java,621,438,315,71,72,0,111,536,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\SecondaryKeyCreator.java,17,5,4,0,4,0,8,38,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\SecondaryMultiKeyCreator.java,18,6,5,0,4,0,8,38,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\SecondaryTrigger.java,35,20,14,1,15,0,0,0,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\Sequence.java,382,270,207,42,72,0,40,211,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\SequenceConfig.java,202,68,49,9,58,0,76,361,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\SequenceStats.java,127,49,38,9,38,0,40,190,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\StatsConfig.java,106,36,26,4,30,0,40,190,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\Transaction.java,201,100,75,15,46,0,55,253,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\TransactionConfig.java,206,70,49,10,54,0,82,388,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\TransactionStats.java,346,120,89,17,85,0,141,535,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\XAEnvironment.java,329,243,171,50,32,0,54,257,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\Cleaner.java,1274,848,648,109,285,0,141,1002,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\FileProcessor.java,1383,877,682,78,405,0,101,817,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\FileSelector.java,342,194,147,31,73,0,75,440,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\FileSummary.java,234,135,112,18,50,0,49,165,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\LNInfo.java,64,42,32,8,22,0,0,0,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\LookAheadCache.java,81,51,39,5,30,0,0,0,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\OffsetList.java,199,105,77,24,43,0,51,326,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\PackedOffsets.java,226,132,99,23,44,0,50,190,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\TrackedFileSummary.java,242,130,91,17,71,0,41,241,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\UtilizationProfile.java,1249,870,661,137,246,0,133,837,0,0
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P5\src\com\sleepycat\je\cleaner\UtilizationTracker.java,405,202,154,31,93,0,110,660,0,0
