File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\MarshalledTupleKeyEntity_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\ShortBinding_ESTest1.java,235,160,118,0,31,0,44,87,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\ShortBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\StringBinding_ESTest1.java,245,169,125,0,32,0,44,92,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\StringBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleBase_ESTest1.java,152,110,80,0,22,0,20,52,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleBase_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleBinding_ESTest1.java,261,181,138,0,32,0,48,101,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleInputBinding_ESTest1.java,93,63,48,0,14,0,16,42,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleInputBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleInput_ESTest1.java,996,731,550,0,121,0,144,319,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleInput_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleMarshalledBinding_ESTest1.java,50,31,23,0,9,0,10,29,4,16
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleMarshalledBinding_ESTest_scaffolding1.java,55,40,29,0,10,0,5,27,5,27
C:\Users\soo\Desktop\eclipse-java-mars-2-win32-x86_64\BerkeleyDB-FH-Java_c.BerkeleyDB_P1\evosuite-tests1\com\sleepycat\bind\tuple\TupleOutput_ESTest1.java,462,331,239,0,59,0,72,127,4,16
